QueryId|ResultSize|Optimizer|EstSize
0|3208020|Neo4j|3208020
0|3208020|Cascades|3208020
1|17399747|Neo4j|17399747
1|17399747|Cascades|17399747
2|3437578836|Neo4j|94373225.747972
2|3437578836|Cascades|1379934871.75512
3|89843365|Neo4j|506604613.375
3|89843365|Cascades|4412671.13905473
4|2850013610|Neo4j|16920550352.043
4|2850013610|Cascades|83257373.778174
5|2249865|Neo4j|2161631.28710232
5|2249865|Cascades|2249865
6|712049|Neo4j|1164571.92950792
6|712049|Cascades|712049
7|23072038|Neo4j|2018.73475764382
7|23072038|Cascades|23245105.2446421
8|46487188|Neo4j|86808.6352080099
8|46487188|Cascades|28152430.036393
9|3100057|Neo4j|16814174.3148668
9|3100057|Cascades|251961.265066976
10|2249865|Neo4j|2249865
10|2249865|Cascades|2249865
11|712049|Neo4j|712049
11|712049|Cascades|712049
12|23072038|Neo4j|23245105.2446421
12|23072038|Cascades|23245105.2446421
13|25694070|Neo4j|18987712.1067529
13|25694070|Cascades|18987712.1067529
14|0|Neo4j|3093.94422728038
14|0|Cascades|0
15|0|Neo4j|0.000566237719945208
15|0|Cascades|0
16|0|Neo4j|602.044849159294
16|0|Cascades|12011.6657932243
17|1003380|Neo4j|964030.108852189
17|1003380|Cascades|1003380
18|21764|Neo4j|37.8056485189508
18|21764|Cascades|21764
19|0|Neo4j|1
19|0|Cascades|0
20|75634179|Neo4j|1226798.8804517
20|75634179|Cascades|18445055.9133887
21|2866|Neo4j|0.0503095367235865
21|2866|Cascades|2061.93904109589
22|79456454|Neo4j|0.0486164149496298
22|79456454|Cascades|57074047.1583674
23|0|Neo4j|221453.626368289
23|0|Cascades|0
24|0|Neo4j|5151.03386824272
24|0|Cascades|0
25|0|Neo4j|1
25|0|Cascades|0
26|0|Neo4j|87215.1457160492
26|0|Cascades|16080
27|2023733846|Neo4j|94373225.747972
27|2023733846|Cascades|886179714.165105
28|145759137|Neo4j|736648031.227254
28|145759137|Cascades|49336913.4067934
29|155350932|Neo4j|288450282.998198
29|155350932|Cascades|200701455.504258
30|1575|Neo4j|8542.5282650981
30|1575|Cascades|119.743150684162
31|0|Neo4j|1433.50999196308
31|0|Cascades|22.7860463258588
32|0|Neo4j|100.307118486943
32|0|Cascades|9.28403199477767e-05
33|2078830|Neo4j|1930086.37774126
33|2078830|Cascades|2078830
34|9581547|Neo4j|52772.8208040217
34|9581547|Cascades|5532333.8472419
35|0|Neo4j|151532.622017045
35|0|Cascades|0
36|16424251|Neo4j|1635203.68710824
36|16424251|Cascades|1399019.77194174
37|2078830|Neo4j|2078830
37|2078830|Cascades|2078830
38|9581547|Neo4j|5532333.8472419
38|9581547|Cascades|5532333.8472419
39|16424251|Neo4j|1680675.39887752
39|16424251|Cascades|1646810.95801907
40|0|Neo4j|111760545789.444
40|0|Cascades|0
41|0|Neo4j|63110960
41|0|Cascades|0
42|193478450|Neo4j|0.631243322589552
42|193478450|Cascades|9571849.53401966
43|31801|Neo4j|5.45237497100945e-05
43|31801|Cascades|2173.92552767084
